Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
1,01-01-2017,7.43793E+15,1,spicy miso ramen
2,01-01-2017,7.43793E+15,1,spicy miso ramen
3,01-01-2017,8.42192E+15,3,tori paitan ramen
4,01-01-2017,8.42192E+15,3,tori paitan ramen
5,01-01-2017,4.78731E+15,1,truffle butter ramen
6,01-01-2017,4.78731E+15,1,truffle butter ramen
7,01-01-2017,8.25282E+15,1,tonkotsu ramen
8,01-01-2017,8.25282E+15,1,tonkotsu ramen
9,01-01-2017,3.11903E+15,1,vegetarian spicy miso
10,01-01-2017,3.11903E+15,1,vegetarian spicy miso
11,01-01-2017,5.18562E+15,1,shio ramen
12,01-01-2017,5.18562E+15,1,shio ramen
13,01-01-2017,1.62577E+15,1,tori paitan ramen
14,01-01-2017,1.62577E+15,1,tori paitan ramen
15,01-01-2017,5.05248E+14,1,vegetarian spicy miso
16,01-01-2017,5.05248E+14,1,vegetarian spicy miso
17,01-01-2017,5.01086E+15,1,spicy miso ramen
18,01-01-2017,5.01086E+15,1,spicy miso ramen
19,01-01-2017,1.79274E+15,2,truffle butter ramen
20,01-01-2017,1.79274E+15,2,truffle butter ramen
21,01-01-2017,7.6156E+14,2,tonkotsu ramen
22,01-01-2017,7.6156E+14,2,tonkotsu ramen
23,01-01-2017,9.0199E+15,1,truffle butter ramen
24,01-01-2017,9.0199E+15,1,truffle butter ramen
25,01-01-2017,8.39095E+15,2,tori paitan ramen
26,01-01-2017,8.39095E+15,2,tori paitan ramen
27,01-01-2017,8.41328E+15,1,spicy miso ramen
28,01-01-2017,8.41328E+15,1,spicy miso ramen
29,01-01-2017,9.29773E+15,1,vegetarian spicy miso
30,01-01-2017,9.29773E+15,1,vegetarian spicy miso
31,01-01-2017,4.84226E+15,1,vegetarian spicy miso
32,01-01-2017,4.84226E+15,1,vegetarian spicy miso
33,01-01-2017,6.23352E+15,4,tonkotsu ramen
34,01-01-2017,6.23352E+15,4,tonkotsu ramen
